11535250	16463
9842500	7380,10908,25086,19048
11894500	24009
9179500	12220,27637,17629
12173500	21110,28370,15405,1325,3627,554
3363000	18868,15315
2331750	7179,19539,27179,8628
1194750	27052,6543,7827,20551,25169,679,5306,4059,12737,7400,24669
6872750	20393
5654000	4571,5896
11947000	28967,2322,24417,15233
10944750	28752
10297000	25058
7687500	6737,12182,13853,28625,16453,619,14498,3787,14603,12364,7868,19574,5369
6126750	25169,15019,25117
6571750	16540,5661,155
10095000	16624
12154500	7868
7703750	8278,18868,7542,527,18075,3651,22908,18730
11137750	24869,19891,12068,934,24669,22447
5407750	16373
3216500	28992,2963
8324500	9848
11794250	29099
5751500	19680,24878,25488,5336,11679
393250	13093,20154,22306
1247000	25635
691500	239,6080,15390,29445,27912,14554,28641,8764,14498,20661,23013
12008000	4960,24274,17647,25618
8701250	1884
418500	15138
4809750	23884
5962750	5151,9640,16800,5803
573000	18868,19615
5293250	3995
892500	10306
2768250	23421
8573000	28049
1528500	26546,28370,7248,23774
2852250	11682,21706
9352750	17133,28759,18075
10257500	4281,10893
7367000	17945,143,20297,11083,13607,21336
847750	28169,12728,21684,18024
4454500	27117,15019,26699
2874500	28370,7868,3047
6458250	7692,22280,27205,23475
10047250	3555,12132
10052000	22126,11696,143
11625250	18990
8757750	26288,24601
19500	20551
266500	9657
11896000	16564
848500	259,23628,7286
5828250	4808,9031
4844000	5598,7868,28362
9351750	28930,14580,17921
3751500	10193,20300,23284,28411
9513250	20800
252500	18544,23656,6199
9906500	155,23656,28411,8689
10774750	1577,14942
1086750	18977,1084,7868
4716750	29202,8511,13784,2963
11046750	7169
4967250	28391
9628250	18024
2807500	27117,11329
7854500	7552,4949,527
776750	12717,26699
11936000	13020
4304250	24929,16846,679,7868,10999
5440500	17945,25272
3031750	18388,14020,18131,12977,16110
4195500	9802,18097
9437500	7208,15718
9720000	13830
2103250	25219,11022,28855,4220,7567
3245250	23878
2752000	22179,19405,3032,3313,26728,14074,5667,5043,27906,11679
8435250	23896,18730
5780000	1000,471,11022,15315,2173,27257,17061
6380000	20327
11579750	15217,8410,12688
11552750	23448
1517000	4808,27205,7208,15086,16302
4895250	1335
9215000	8651,14294
11949750	6571,13554
8070000	29197
1381000	29099
11300000	2963
11283500	12220
7322250	23861
1727500	4452,3228
2033500	712,8689
2050000	5620,17960,18996,5306,26866,11022,15231,21659
4902250	8207
7657250	29445,2043
11564250	9140,1831
5754500	28752,23214,14020,10282,14784,25618
8170750	1966
1579250	25424,4078
6497000	7927
11632250	25022
5726500	23465,13779
11984750	3627
5898500	23433,7105
4963500	16572,21092,15534,18002
5155750	14661
6233750	10678
12027000	2322
3344750	27427,28524,8805,3313,1771,11022
2078000	7622,17752
7269750	19475
4063000	19974
2200750	9315
4047000	7208,29446,3983
3054250	5448,12285
200250	25570
4259500	29099,11018
3096750	15315,11541
3524750	4808,4491,26871
2168250	7868
7588000	7105
439000	26404
3581250	28411
764000	18990
3188000	18025,26618,16463
2704750	13592
1110750	3458
4625750	17945,1000,11734,24869,22749,26000,24471,17882,22321,14482,29197,10570
4631250	29099,20896
6904000	9111
563500	23928,10778
1025250	13247
7785250	11790
11220500	11431,12285
38250	10051,14265
3249250	26394
10609250	5330
11121500	13049,15799,8530
6766250	9109
11972750	954,21693
1446250	23482,20297
4809000	22211
5143250	23549,20411
10653250	20180
3317500	7105
11129250	949
434750	4571,6104,19973,19394
9076750	18575,17748
2198750	13054,9250
11340250	26973
10756500	14942
4680000	16463
3288250	6395
3742000	23656,13020
1782250	155,24460
3304500	4931,29099,25169,8219,17228,3804,24461
1561250	22973,24307,17706,12352,21511
2378500	10014,12886,14795,26619,19974,23774,2669
4184250	4949,241
6619500	21067
1832000	10916,25687
5108000	23628,14020,4254
5812000	2683
1620500	23735,28774,1195,5833
11142000	17407
8156500	6951,19974,6447,4078
965500	26378
3148500	28561,16217,22126,7620,12795,4762
1140750	14261,6741,7868
5238000	21833
6247250	15814,25618
10224750	21393,11679
3520000	1700,23409,9563,28065,7105
5491500	25989,20803
2386250	948,7061
4533750	10908
6571000	27052,4254
8628250	20979,28481
3226500	22240
10064500	22583,29099,8269
5279750	2368
1758250	6571,3091,28481
7323750	27019
745750	24869,21071
10112000	6839
9782000	7248
6272000	17400,2803,12055
3293750	26523
8060000	18024,19882
69500	15315,10646,18730
1074750	22556,12220
5024500	9802,21110,13888
8243500	4931,24869
12004000	18683,15307
10628500	12159,27791,3324,18075,12013,13784
3114000	23928,21092,20536
8523250	25500,7827
7163250	26595,20154
8111500	12790,11018
6412750	3719,7208,12666
3846250	16722,15584,8719,11679
11874000	10014,4510,1282,13844,4220,18180
8845250	23928,16722,22484,554,17214
4850000	614,12512
10309250	11734,18996,15192,14942
8528750	15315
3913250	5845,13240
1629250	29099,18024,19891,21392,24601,9120
1971500	11000,22043,7230,8316
8940500	251,13784
3903500	15514,1392
9035750	17977,27052,18544,18024,25618,17732
6257000	16540,11849,22749,23628,23563,14795,21071,12285
3266750	5416
10401500	13258,27791,12189
1710500	28065,14780
12015000	26900,5176,15138,22240
6957500	1065,22029,27448,12754
1661750	9802,1731,3151,14020,22342,3324
11111500	4216
6150750	15831,17429,4835
10966250	251,17087
11339250	6828
7016500	26546
6780500	10893,25676
232000	21865
7892000	1530
11391250	28924
65500	29202,21840
3675000	14292,15024
3625250	21372
8529750	9702
2891500	8027,3627
4317250	15159
3590000	28924,7567
11313000	11018
11494250	11196,8676
4503500	11936
8145500	21883,18124
10261750	8278,14261,23896,23628,5285,17061
11939000	23260
6874250	12747,11080,13483,12168,14265
5847500	21865,29505,28504
9288000	11328
11730000	12914,1446,471,18523
8129250	16323,28617
3168000	3082
9972250	15138
1622500	18771
5539250	155,24258,18075,7868,11983,8689
10069500	15322,8637,7868
6234000	21372,17020,12438,16463
8822250	18013,17483
4658500	17453
9394500	16540,8965,14588,29472,29099,14533,26712
3799500	21768
6301250	14292,574,14942,11543,8689
8049000	3850,20979,4582,17664,1704
1806750	26394,20701
12384250	3658
10229250	22179,24869,24541,8689,23774
1118250	10970,19096,3068,14794,26665
4257000	27625
2448250	24669
8949750	17438,21962,16818
10773000	11889,2999,2257
8799750	12018,20826
2187500	23628
12204750	6571,7963
9586500	8860,24601
2182750	18808
4215750	9340,11391,26127,21085,15302
10592750	13093
2316250	9688,18180,10948
11307500	20300
4782250	5724,27791,9658,10778
